ano,rede,localizacao,sigla_uf,disciplina,serie,media,nivel_0,nivel_1,nivel_2,nivel_3,nivel_4,nivel_5,nivel_6,nivel_7,nivel_8,nivel_9,nivel_10
2005,total - estadual e municipal,total,AC,MT,5,168.82150457665998,8.8034687367226141,22.511082818912147,28.416218599683724,22.80908083762667,10.241287029325557,4.6727621922849165,1.3246321405592996,0.4639454822799769,0.52378089597203314,0.23374126663317629,0
2003,total - estadual e municipal,total,AC,MT,5,168.88844971478662,9.9685832633067513,23.241158630778816,26.717261034809951,18.862929233276663,13.748349649639538,5.3728466790935814,0.89143725846753241,1.1974342506273128,0,0,0
2005,"total - federal, estadual e municipal",total,AC,MT,5,169.096761035407,9.3987893225124068,20.751523387677707,29.564105151726011,21.865132820939127,10.834583585056343,5.3416728935718307,1.6447117092789869,0.39273575754746526,0.14295195753621451,0.063793414153063943,0
2005,federal,total,AC,MT,5,169.20008419610195,9.622255121749868,20.091036644917875,29.994987926333692,21.510802560870051,11.057289623073387,5.5927622529011565,1.7648601441741152,0.36600572598017928,0,0,0
1997,estadual,total,AC,MT,5,169.77636591057,4.3945424270000268,26.798365177480907,30.041201763840263,21.120626403204863,12.930164528921873,3.4867547317218364,1.2283449678300438,0,0,0,0
2005,total - estadual e municipal,total,AC,LP,5,169.91354969398091,11.082259893837257,17.246308295493687,25.983966595915462,23.746058063907462,15.642665639765452,5.2951752308561151,1.0035662802247689,0,0,0,
2021,municipal,rural,AC,LP,5,169.94,17.95,22.87,18.82,14.09,12.06,7.23,4.3,2.34,0.33,0,
2005,"total - federal, estadual, municipal e privada",total,AC,LP,5,170.32173808385696,9.8126134995200722,21.405905174422575,26.365211560557547,19.712380081943476,14.939894143695797,6.0881244184090857,1.5454395110073118,0.066146927500235,0.064284682943701446,0,
1999,total - estadual e municipal,total,AC,MT,5,171.14917694079102,8.8177566192433563,21.31969511639565,27.325534155916337,25.797081419227858,8.97353182957305,3.1231540261980637,3.0152202653610027,0,1.6280265680846411,0,0
2005,"total - federal, estadual, municipal e privada",total,AC,MT,5,172.33382532460368,8.8352133427843036,19.527825155881327,28.469409707015256,21.462022565082453,11.724218594724233,6.5414546335104955,2.484899118818479,0.597034273893248,0.23270556476728038,0.12521704352181809,0
